Symbol,Company,Volume,Price,Change,%Change
VVPR,VivoPower International PLC,140.2M,4.23,1.97,87.04
LXEH,Lixiang Education Holding Co. Ltd. ADR,417.8K,18.42,8.02,77.12
EDBL,Edible Garden AG Inc.,494.7K,3.76,0.87,30.10
LZMH,LZ Technology Holdings Ltd. Cl B,263.8K,9.88,2.22,28.98
ULY,Urgent.ly Inc.,556.3K,4.91,1.00,25.58
WOR,Worthington Enterprises Inc.,1.7M,51.67,10.04,24.12
EPSM,Epsium Enterprise Ltd.,907.4K,4.94,0.94,23.50
ALMS,Alumis Inc.,5.3M,4.92,0.93,23.12
PLTK,Playtika Holding Corp.,6.3M,5.30,0.91,20.57
LICN,Lichen International Ltd.,63.9K,4.50,0.70,18.42
BOF,BranchOut Food Inc.,407.8K,2.64,0.41,18.39
SOPH,SOPHiA GENETICS S.A.,66.9K,3.69,0.57,18.27
HCAI,Huachen AI Parking Management Technology Holding Co. Ltd.,547.3K,7.02,1.06,17.73
QNTM,Quantum Biopharma Ltd.,694.4K,6.86,1.00,17.02
XYF,X Financial ADR,474.2K,15.19,2.19,16.85
LGHL,Lion Group Holding Ltd. ADR,256.2K,4.26,0.56,15.20
NGNE,Neurogene Inc.,185.0K,16.17,1.97,13.87
JYD,Jayud Global Logistics Ltd.,13.1M,6.13,0.73,13.52
BIYA,Baiya International Group Inc.,734.6K,4.93,0.58,13.29
VS,Versus Systems Inc.,138.3K,2.34,0.25,11.96
TZUP,Thumzup Media Corp.,663.2K,4.51,0.48,11.91
GDHG,Golden Heaven Group Holdings Ltd.,7.4M,4.30,0.49,12.86
BYON,Beyond Inc.,4.5M,5.40,0.56,11.70
GME,GameStop Corp. Cl A,48.0M,28.36,2.96,11.65
BAK,Braskem S/A ADR,2.1M,4.12,0.42,11.52
TBH,Brag House Holdings Inc.,2.7M,6.13,0.62,11.25
CGTL,Creative Global Technology Holdings Ltd.,218.2K,3.70,0.35,10.45
ICU,SeaStar Medical Holding Corp.,530.3K,2.44,0.23,10.41
AEVA,Aeva Technologies Inc.,2.4M,5.73,0.54,10.40
XGN,Exagen Inc.,241.5K,4.26,0.40,10.36
PHH,Park Ha Biological Technology Co. Ltd.,478.0K,10.52,0.98,10.22
QSG,QuantaSing Group Ltd. ADR,218.5K,2.98,0.28,10.19
RENT,Rent the Runway Inc.,85.6K,5.19,0.47,9.96
PRM,Perimeter Solutions Inc.,1.9M,10.02,0.91,9.93
KYTX,Kyverna Therapeutics Inc.,238.9K,2.52,0.22,9.57
GV,Visionary Holdings Inc.,5.7M,3.48,0.30,9.43
HFFG,HF Foods Group Inc.,490.6K,4.77,0.41,9.41
ARKR,ARK Restaurants Corp.,88.1K,10.20,0.82,8.79
NAYA,NAYA Biosciences Inc.,65.6K,2.48,0.20,8.77
KGEI,Kolibri Global Energy Inc.,202.4K,7.83,0.59,8.15
DOOO,BRP Inc.,539.6K,38.16,2.62,7.37
UPC,Universe Pharmaceuticals Inc.,88.9K,4.83,0.33,7.33
CYD,China Yuchai International Ltd.,339.5K,18.24,1.21,7.11
PN,Skycorp Solar Group Ltd.,105.2K,3.96,0.26,7.03
TH,Target Hospitality Corp.,940.8K,6.56,0.43,7.01
AVD,American Vanguard Corp.,203.1K,4.50,0.29,6.89
HOND,HCM II Acquisition Corp. Cl A,6.2M,10.81,0.67,6.61
PRAX,Praxis Precision Medicines Inc.,548.8K,38.18,2.33,6.48
GMGI,Golden Matrix Group Inc.,136.8K,2.15,0.13,6.44
AMPY,Amplify Energy Corp.,670.4K,3.95,0.23,6.24
