Symbol,Company,Volume,Price,Change,%Change
PRTG,Portage Biotech Inc.,248.0K,12.01,7.30,154.99
DBVT,DBV Technologies S.A. ADR,101.1K,5.96,2.05,52.41
BRZE,Braze Inc.,116.1K,42.06,5.36,14.60
QNTM,Quantum Biopharma Ltd.,56.9K,9.36,0.98,11.69
TSSI,TSS Inc.,55.6K,9.40,0.89,10.40
APP,AppLovin Corp.,270.7K,279.27,17.57,6.71
RKLB,Rocket Lab USA Inc.,508.9K,19.62,1.20,6.51
HMY,Harmony Gold Mining Co. Ltd. ADR,50.6K,13.54,0.70,5.49
MLGO,MicroAlgo Inc.,217.0K,16.63,0.69,4.33
GOGL,Golden Ocean Group Ltd.,277.5K,8.34,0.20,2.42
CDE,Coeur Mining Inc.,70.7K,6.48,0.14,2.13
VOD,Vodafone Group PLC ADR,50.4K,9.54,0.17,1.87
NGD,New Gold Inc.,94.4K,3.68,0.07,1.80
IQ,iQIYI Inc. ADR,508.7K,2.40,0.03,1.27
MDLZ,Mondelez International Inc. Cl A,143.2K,68.28,0.79,1.16
AZN,AstraZeneca PLC ADR,62.8K,73.65,0.81,1.11
AG,First Majestic Silver Corp.,109.0K,7.04,0.07,1.00
HUMA,Humacyte Inc.,150.2K,2.03,0.02,1.00
GME,GameStop Corp. Cl A,228.8K,22.28,0.19,0.86
KTOS,Kratos Defense & Security Solutions Inc.,51.2K,31.73,0.26,0.84
KHC,Kraft Heinz Co.,268.6K,30.32,0.24,0.81
DLTR,Dollar Tree Inc.,98.4K,77.57,0.62,0.80
T,AT&T Inc.,104.8K,28.41,0.21,0.74
HTZ,Hertz Global Holdings Inc.,162.4K,4.26,0.03,0.71
SMCI,Super Micro Computer Inc.,694.7K,34.96,0.23,0.68
AEVA,Aeva Technologies Inc.,63.0K,6.42,0.04,0.63
JYD,Jayud Global Logistics Ltd.,171.4K,6.94,0.04,0.58
TSLA,Tesla Inc.,797.3K,274.67,1.54,0.56
PEP,PepsiCo Inc.,70.4K,150.51,0.84,0.56
MRNA,Moderna Inc.,62.5K,32.30,0.18,0.56
EXC,Exelon Corp.,50.8K,44.50,0.24,0.55
KDP,Keurig Dr Pepper Inc.,93.7K,34.20,0.17,0.51
VTRS,Viatris Inc.,84.1K,8.88,0.04,0.40
FAST,Fastenal Co.,57.7K,78.00,0.27,0.35
KVUE,Kenvue Inc.,81.3K,23.58,0.08,0.34
AEP,American Electric Power Co. Inc.,53.0K,105.50,0.35,0.33
WBD,Warner Bros. Discovery Inc. Series A,238.4K,11.04,0.04,0.32
AMAT,Applied Materials Inc.,117.9K,148.10,0.42,0.29
AMPS,Altus Power Inc.,56.7K,4.95,0.01,0.20
NIU,Niu Technologies ADR,53.2K,4.87,0.01,0.15
GILD,Gilead Sciences Inc.,101.2K,111.32,0.17,0.15
GBDC,Golub Capital BDC Inc.,72.5K,15.39,0.02,0.13
ERIC,Telefon AB L.M. Ericsson ADR,61.9K,7.87,0.01,0.13
WBA,Walgreens Boots Alliance Inc.,132.4K,11.17,0.01,0.09
ARCC,Ares Capital Corp.,61.4K,22.38,0.02,0.09
CSCO,Cisco Systems Inc.,335.5K,61.42,0.03,0.04
EBAY,eBay Inc.,60.6K,66.83,0.02,0.03
IBRX,ImmunityBio Inc.,373.7K,3.36,0.00,0.00
CPRT,Copart Inc.,58.2K,55.64,0.00,0.00
BBD,Banco Bradesco S/A Pref ADR,70.7K,2.29,0.00,0.00
STIM,Neuronetics Inc.,54.9K,4.00,0.00,0.00
BECN,Beacon Roofing Supply Inc.,91.7K,123.85,-0.01,-0.01
BAC,Bank of America Corp.,108.8K,42.55,-0.01,-0.03
CSX,CSX Corp.,101.0K,29.90,-0.01,-0.05
CMCSA,Comcast Corp. Cl A,181.7K,37.34,-0.04,-0.09
HBAN,Huntington Bancshares Inc.,80.2K,15.10,-0.01,-0.10
AGNC,AGNC Investment Corp.,268.1K,9.75,-0.01,-0.10
PANW,Palo Alto Networks Inc.,75.3K,174.21,-0.23,-0.13
U,Unity Software Inc.,50.2K,21.55,-0.03,-0.14
AVGO,Broadcom Inc.,367.8K,171.68,-0.31,-0.18
NNOX,Nano-X Imaging Ltd.,51.6K,5.45,-0.01,-0.18
NVDA,NVIDIA Corp.,2.1M,111.19,-0.24,-0.22
PSEC,Prospect Capital Corp.,69.2K,4.17,-0.01,-0.24
ASTS,AST SpaceMobile Inc.,58.4K,25.73,-0.07,-0.27
LX,LexinFintech Holdings Ltd. ADR,64.5K,11.40,-0.03,-0.28
BMBL,Bumble Inc. Cl A,59.4K,4.50,-0.01,-0.33
AAL,American Airlines Group Inc.,253.8K,11.09,-0.05,-0.45
SOUN,SoundHound AI Inc.,247.6K,8.84,-0.04,-0.45
MRVL,Marvell Technology Inc.,127.9K,64.54,-0.32,-0.49
LRCX,Lam Research Corp.,90.6K,74.44,-0.37,-0.49
RUN,SunRun Inc.,115.1K,5.98,-0.03,-0.50
TTD,Trade Desk Inc. Cl A,88.0K,56.96,-0.29,-0.52
META,Meta Platforms Inc.,264.1K,599.36,-3.22,-0.53
SNAP,Snap Inc.,83.8K,9.12,-0.05,-0.55
NVAX,Novavax Inc.,61.8K,7.22,-0.04,-0.55
CRMD,CorMedix Inc.,58.7K,6.67,-0.04,-0.60
FLEX,Flex Ltd.,117.4K,34.25,-0.21,-0.60
LUNR,Intuitive Machines Inc. Cl A,111.1K,8.22,-0.05,-0.60
WDC,Western Digital Corp.,66.5K,41.65,-0.26,-0.62
SOFI,SoFi Technologies Inc.,489.4K,12.12,-0.08,-0.69
DKNG,DraftKings Inc. Cl A,72.7K,36.78,-0.26,-0.69
ADSK,Autodesk Inc.,91.1K,267.93,-1.88,-0.70
GT,Goodyear Tire & Rubber Co.,63.3K,9.05,-0.06,-0.70
ABSI,Absci Corp.,52.1K,2.79,-0.02,-0.71
VRT,Vertiv Holdings LLC,58.3K,75.77,-0.55,-0.72
MCHP,Microchip Technology Inc.,54.4K,50.42,-0.37,-0.73
MSFT,Microsoft Corp.,257.7K,387.65,-2.93,-0.75
JBLU,JetBlue Airways Corp.,58.7K,5.28,-0.04,-0.84
GOOG,Alphabet Inc. Cl C,483.9K,162.68,-1.40,-0.85
INTC,Intel Corp.,450.5K,23.41,-0.21,-0.89
MU,Micron Technology Inc.,134.7K,90.34,-0.81,-0.89
GOOGL,Alphabet Inc. Cl A,485.8K,160.74,-1.50,-0.92
LYFT,Lyft Inc. Cl A,143.4K,12.02,-0.12,-0.96
AAPL,Apple Inc.,597.8K,221.70,-2.15,-0.96
WAY,Waystar Holding Corp.,80.0K,38.16,-0.38,-0.99
QCOM,Qualcomm Inc.,63.3K,156.41,-1.56,-0.99
PYPL,PayPal Holdings Inc.,195.8K,68.11,-0.75,-1.09
CCL,Carnival Corp.,58.5K,20.54,-0.24,-1.15
PLTR,Palantir Technologies Inc.,646.3K,89.02,-1.06,-1.18
SBUX,Starbucks Corp.,83.8K,97.67,-1.18,-1.19
