Symbol,Company,Volume,Price,Change,%Change
TTEC,TTEC Holdings Inc.,13.1M,5.34,2.08,63.46
TCRT,Alaunos Therapeutics Inc.,10.0M,3.07,0.91,42.13
SBFM,Sunshine Biopharma Inc.,59.0M,2.71,0.63,30.32
VMAR,Vision Marine Technologies Inc.,1.6M,5.63,1.24,28.14
ALMS,Alumis Inc.,2.1M,8.93,1.69,23.27
CRVO,CervoMed Inc.,1.8M,12.12,2.13,21.39
ZYBT,Zhengye Biotechnology Holding Ltd.,409.4K,6.35,1.03,19.36
SION,Sionna Therapeutics Inc.,78.8K,12.12,1.96,19.24
CGNT,Cognyte Software Ltd.,1.2M,9.80,1.58,19.22
WOOF,Petco Health & Wellness Co. Inc.,6.7M,3.50,0.55,18.41
YOSH,Yoshiharu Global Co.,70.2K,17.33,2.64,17.97
GYRE,Gyre Therapeutics Inc.,85.5K,7.50,1.09,17.00
MNPR,Monopar Therapeutics Inc.,53.3K,39.01,5.58,16.68
VPG,Vishay Precision Group Inc.,739.1K,27.38,3.87,16.44
NOTV,Inotiv Inc.,313.2K,2.80,0.40,16.39
DBVT,DBV Technologies S.A. ADR,202.8K,7.45,0.99,15.33
TIVC,Tivic Health Systems Inc.,541.5K,2.90,0.38,15.08
AUUD,Auddia Inc.,111.4K,4.45,0.58,14.99
SLN,Silence Therapeutics PLC ADR,129.0K,2.78,0.36,14.88
PHAT,Phathom Pharmaceuticals Inc.,1.2M,5.87,0.75,14.65
LEDS,SemiLEDS Corp.,90.9K,2.77,0.34,13.99
RCAT,Red Cat Holdings Inc.,4.4M,7.28,0.89,13.93
ANGO,AngioDynamics Inc.,1.8M,11.00,1.34,13.92
SYTA,Siyata Mobile Inc.,586.5K,2.42,0.29,13.92
ADVM,Adverum Biotechnologies Inc.,68.5K,4.35,0.52,13.58
BNGO,Bionano Genomics Inc.,83.8K,3.51,0.41,13.23
ALAR,Alarum Technologies Ltd. ADR,112.9K,7.18,0.82,12.89
ACON,Aclarion Inc.,60.3K,12.76,1.45,12.80
Cayman,Intercont,129.6K,6.09,0.69,12.78
DNLI,Denali Therapeutics Inc.,1.3M,13.82,1.53,12.49
FDMT,4D Molecular Therapeutics Inc.,547.0K,3.36,0.37,12.37
XGN,Exagen Inc.,149.7K,4.40,0.47,11.96
ADTX,Aditxt Inc.,100.8K,5.05,0.53,11.73
