Symbol,Company,Volume,Price,Change,%Change
DM,Desktop Metal Inc.,41.6M,4.30,2.03,89.43
DATS,DatChat Inc.,120.2M,3.84,1.68,77.78
MKFG,Markforged Holding Corp.,1.5M,4.20,0.92,28.12
MLGO,MicroAlgo Inc.,24.2M,17.63,3.64,26.01
AVTX,Avalo Therapeutics Inc.,175.9K,9.39,1.76,23.07
ZYBT,Zhengye Biotechnology Holding Ltd.,923.2K,7.02,1.22,21.03
FUFU,BitFuFu Inc.,426.4K,5.39,0.93,20.85
KBSX,FST Corp.,6.1M,2.58,0.32,14.16
EHLD,Euroholdings Ltd.,888.5K,5.74,0.70,13.90
HMR,Heidmar Maritime Holdings Corp.,702.8K,3.48,0.41,13.36
ALMS,Alumis Inc.,12.2M,4.18,0.41,10.86
ECX,ECARX Holdings Inc.,3.3M,3.04,0.29,10.73
SKYH,Sky Harbour Group Corp.,85.7K,13.25,1.27,10.60
PRCH,Porch Group Inc.,1.8M,7.52,0.66,9.55
DJT,Trump Media & Technology Group Corp.,9.4M,23.01,2.00,9.52
AEVA,Aeva Technologies Inc.,657.3K,5.19,0.45,9.49
OPRX,OptimizeRx Corp.,123.2K,9.83,0.83,9.22
TIPT,Tiptree Inc.,272.0K,25.34,2.10,9.03
WKHS,Workhorse Group Inc.,147.7K,2.38,0.19,8.68
VERB,Verb Technology Co. Inc.,160.4K,6.20,0.48,8.39
NIPG,NIP Group Inc. ADR,113.5K,2.22,0.17,8.01
EPAC,Enerpac Tool Group Corp. Cl A,121.8K,46.81,3.43,7.91
MBLY,Mobileye Global Inc. Cl A,4.9M,16.46,1.21,7.90
SAND,Sandstorm Gold Ltd.,1.9M,7.35,0.50,7.29
XTIA,XTI Aerospace Inc.,126.4K,2.70,0.18,7.14
MASK,3 E Network Technology Group Ltd. Cl A,73.8K,3.62,0.24,7.10
DOMH,Dominari Holdings Inc.,436.0K,5.86,0.37,6.74
IP,International Paper Co.,4.0M,56.38,3.54,6.71
SPRU,Spruce Power Holding Corp.,73.4K,2.64,0.17,6.65
SEG,Seaport Entertainment Group Inc.,66.4K,22.68,1.38,6.45
AENT,Alliance Entertainment Holding Corp.,81.8K,4.04,0.23,6.04
EGO,Eldorado Gold Corp.,866.1K,16.64,0.94,5.95
SUPV,Grupo Supervielle S.A. ADR,357.3K,14.80,0.82,5.85
SAIL,SailPoint Inc.,637.2K,22.47,1.24,5.84
BZAI,Blaize Holdings Inc.,265.9K,3.36,0.18,5.82
DTSS,Datasea Inc.,326.7K,2.43,0.13,5.81
WGRX,Wellgistics Health Inc.,59.7K,4.17,0.22,5.57
POET,POET Technologies Inc.,1.0M,4.38,0.23,5.54
BBD,Banco Bradesco S/A Pref ADR,17.1M,2.34,0.12,5.41
