symbol,name,price,change
CNXC,Concentrix Corporation,,65.04 +19.36 (+42.38%)
SLNO,"Soleno Therapeutics, Inc.",,67.39 +18.42 (+37.61%)
MLGO,MicroAlgo Inc.,,15.94 +4.08 (+34.40%)
CAR,"Avis Budget Group, Inc.",,74.16 +12.61 (+20.49%)
DLTR,"Dollar Tree, Inc.",,76.95 +7.74 (+11.18%)
RIVN,"Rivian Automotive, Inc.",,13.02 +0.92 (+7.60%)
HCM,HUTCHMED (China) Limited,,15.26 +1.04 (+7.31%)
ZLAB,Zai Lab Limited,,36.18 +2.27 (+6.69%)
FINV,FinVolution Group,,10.47 +0.66 (+6.73%)
AAP,"Advance Auto Parts, Inc.",,40.35 +2.53 (+6.69%)
ALC,Alcon Inc.,,96.86 +5.54 (+6.07%)
FUL,H.B. Fuller Company,,57.54 +3.22 (+5.93%)
JBSAY,JBS S.A.,,14.47 +0.75 (+5.47%)
EWTX,"Edgewise Therapeutics, Inc.",,23.44 +1.18 (+5.30%)
LBRT,Liberty Energy Inc.,,16.23 +0.81 (+5.22%)
IAG,IAMGOLD Corporation,,6.43 +0.32 (+5.24%)
IMVT,"Immunovant, Inc.",,18.79 +0.90 (+5.03%)
MAKSY,Marks and Spencer Group plc,,9.29 +0.42 (+4.74%)
DAR,Darling Ingredients Inc.,,31.92 +1.44 (+4.72%)
AUR,"Aurora Innovation, Inc.",,7.46 +0.34 (+4.78%)
BURBY,Burberry Group plc,,10.65 +0.46 (+4.51%)
OLLI,"Ollie's Bargain Outlet Holdings, Inc.",,113.07 +4.90 (+4.53%)
FJTSY,Fujitsu Limited,,20.66 +0.89 (+4.50%)
UNF,UniFirst Corporation,,178.02 +7.15 (+4.18%)
PARAA,Paramount Global,,23.58 +0.86 (+3.79%)
