symbol,name,price,change
AMTM,"Amentum Holdings, Inc.",,19.81 +1.93 (+10.83%)
RGTI,"Rigetti Computing, Inc.",,8.66 +0.86 (+10.95%)
CYTK,"Cytokinetics, Incorporated",,41.55 +4.05 (+10.80%)
RNA,"Avidity Biosciences, Inc.",,29.49 +2.75 (+10.26%)
NFE,New Fortress Energy Inc.,,8.35 +0.77 (+10.22%)
IONQ,"IonQ, Inc.",,25.53 +2.34 (+10.09%)
RKT,"Rocket Companies, Inc.",,13.80 +1.19 (+9.48%)
TGTX,"TG Therapeutics, Inc.",,41.25 +3.50 (+9.28%)
CACI,CACI International Inc,,401.17 +31.27 (+8.45%)
SOUN,"SoundHound AI, Inc.",,8.91 +0.71 (+8.64%)
SWTX,"SpringWorks Therapeutics, Inc.",,45.40 +3.52 (+8.40%)
ACLX,"Arcellx, Inc.",,65.56 +4.86 (+8.01%)
SLNO,"Soleno Therapeutics, Inc.",,73.33 +5.07 (+7.43%)
COHR,Coherent Corp.,,68.71 +5.01 (+7.86%)
COOP,Mr. Cooper Group Inc.,,134.27 +9.19 (+7.34%)
LITE,Lumentum Holdings Inc.,,68.44 +4.85 (+7.63%)
PSN,Parsons Corporation,,63.92 +4.36 (+7.32%)
LOAR,Loar Holdings Inc.,,76.44 +5.11 (+7.16%)
VKTX,"Viking Therapeutics, Inc.",,25.59 +1.68 (+7.05%)
CIEN,Ciena Corporation,,65.94 +4.40 (+7.15%)
CVNA,Carvana Co.,,226.82 +14.23 (+6.69%)
BAH,Booz Allen Hamilton Holding Corporation,,114.52 +7.16 (+6.67%)
MRX,Marex Group plc,,38.22 +2.54 (+7.12%)
UWMC,UWM Holdings Corporation,,5.70 +0.36 (+6.64%)
KBR,"KBR, Inc.",,53.15 +3.22 (+6.45%)
