symbol,name,price,change
AGL,"agilon health, inc.",,5.31 -0.05 (-0.93%)
TNXP,Tonix Pharmaceuticals Holding Corp.,,19.68 -0.14 (-0.71%)
HUM,Humana Inc.,,279.50 -2.45 (-0.87%)
SMTOY,"Sumitomo Electric Industries, Ltd.",,13.16 +0.87 (+7.08%)
AVAV,"AeroVironment, Inc.",,120.70 -0.33 (-0.27%)
ALHC,"Alignment Healthcare, Inc.",,19.06 +0.10 (+0.55%)
HCC,"Warrior Met Coal, Inc.",,43.38 -0.06 (-0.14%)
CVS,CVS Health Corporation,,66.68 -0.95 (-1.41%)
UNH,UnitedHealth Group Incorporated,,557.77 +4.68 (+0.85%)
DLICY,"Dai-ichi Life Holdings, Inc.",,12.50 +0.61 (+5.13%)
RYTM,"Rhythm Pharmaceuticals, Inc.",,55.87 -1.86 (-3.23%)
CVNA,Carvana Co.,,176.81 +0.49 (+0.28%)
HTHIY,"Hitachi, Ltd.",,19.88 +0.94 (+4.96%)
ARLP,"Alliance Resource Partners, L.P.",,26.11 +0.25 (+0.95%)
LOAR,Loar Holdings Inc.,,74.78 -0.51 (-0.68%)
PDI,PIMCO Dynamic Income Fund,,17.75 -0.08 (-0.45%)
FNMAS,Federal National Mortgage Association,,10.60 +0.45 (+4.43%)
STRL,"Sterling Infrastructure, Inc.",,111.44 -2.39 (-2.10%)
LNSTY,London Stock Exchange Group plc,,34.80 +1.35 (+4.04%)
VIK,Viking Holdings Ltd,,35.70 +0.19 (+0.54%)
BGC,"BGC Group, Inc.",,7.80 0.00 (0.00%)
XIACY,Xiaomi Corporation,,24.10 +0.85 (+3.66%)
BWXT,"BWX Technologies, Inc.",,92.29 -0.88 (-0.94%)
MRCY,"Mercury Systems, Inc.",,42.51 -0.45 (-1.05%)
ZURVY,Zurich Insurance Group AG,,32.35 +1.03 (+3.29%)
